frame,fps,frame_time_ms,detection_time_ms
0,0.0850408855742685,7.75200000134646,7.746999999653781
1,229.045202170969,3.8241000002017245,3.819000001385575
2,237.46840323121765,4.7318999968410935,4.7264000022551045
3,232.5059631821569,8.094400000118185,8.089400002063485
4,237.82044556337706,3.884900001139613,3.8799999965704046
5,239.37671092019377,4.257000000507105,4.25109999923734
6,230.73887361254538,4.012699999293545,4.0083000021695625
7,235.95922624597932,4.178299997875001,4.173799999989569
8,227.91851140354927,5.117600001540268,5.113500003062654
9,121.16507569602783,7.196499998826766,7.192099998064805
10,229.85960175488134,4.1829000001598615,4.1788999988057185
11,219.82229565617038,4.1805000000749715,4.176900001766626
12,220.21419500746447,4.034300000057556,4.030200001579942
13,233.59611232103734,4.469999999855645,4.465300000447314
14,228.22151537600178,4.359599999588681,4.355499997473089
15,233.9730463041124,3.8530000019818544,3.8485000004584435
16,238.47149311801292,4.186400001344737,4.181600001174957
17,239.58800446819714,4.229400001349859,4.224700001941528
18,224.48169560313391,4.849500001000706,4.8451000002387445
19,221.82196569042824,7.471000000805361,7.46630000139703
20,232.29739943983188,4.186499998468207,4.182000000582775
21,232.14285714415746,4.120199999306351,4.115700001420919
22,237.3873980793589,4.473100001632702,4.468499999347841
23,228.5060275929274,3.948800000216579,3.943200001231162
24,180.68181773050006,4.427500000019791,4.422599999088561
25,119.92209860402733,3.9254999974218663,3.921200001059333
26,120.02191875711424,4.307999999582535,4.303100002289284
27,120.0164402853631,4.211399998894194,4.206900001008762
28,119.98456998379069,4.843399998208042,4.83429999803775
29,119.9077669456747,7.471500000974629,7.466200000635581
30,119.94906962559921,4.167999999481253,4.163199999311473
31,120.11860629286772,4.144899998209439,4.140499997447478
32,119.86258952759258,4.223999996611383,4.218999998556683
33,119.83769182982164,4.487199999857694,4.482800002733711
34,120.25879693145298,3.912000000127591,3.907000002072891
35,118.91044735288531,4.2012000012618955,4.196199999569217
36,208.45083508294064,4.457200000615558,4.4524000004457776
37,237.67903822810592,3.943000003346242,3.9380999987770338
38,236.0647880798884,4.205999997793697,4.20020000092336
39,239.92227311494247,4.95990000126767,4.954299998644274
40,157.82213445396852,7.828300000255695,7.823299998563016
41,136.93217550891188,7.858100001612911,7.853200000681682
42,167.91963366348955,3.995099999883678,3.9905000012367964
43,222.72591865563732,4.167200000665616,4.162899997027125
44,239.60608759114237,4.090800000994932,4.086799999640789
45,234.31736698746258,4.404600000270875,4.4003999973938335
46,239.9507141233944,4.0793000007397495,4.074700002092868
47,239.9046618875575,4.798099998879479,4.793500000232598
48,235.99603526732582,7.700000001932494,7.695899999816902
49,240.15851255642835,3.969699999288423,3.9654000029258896
50,237.71863622273662,3.994899998360779,3.990900000644615
51,238.29197081109422,4.388400000607362,4.3839999998454005
52,237.72851403673658,4.305099999328377,4.300900000089314
53,238.28501509099718,3.9796999990358017,3.975499999796739
54,239.99731202884607,4.221600000164472,4.217300000163959
55,237.85690528648706,4.2257999994035345,4.221600000164472
56,239.98905649950962,4.316000002290821,4.31159999789088
57,239.90768352215184,4.323000001022592,4.31850000313716
58,194.62094942775664,4.729000000224914,4.724099999293685
59,173.0699222378416,7.083499996952014,7.078900001943111
60,229.52062322669883,4.43499999892083,4.430500001035398
61,234.46486474450796,4.079400001501199,4.075000000739237
62,231.94220000241813,4.22439999965718,4.220000002533197
63,235.67872276576537,4.075100001500687,4.070799997862196
64,226.2159703707114,4.344100001617335,4.339899998740293
65,210.35251907153886,4.0455999987898394,4.041399999550777
66,227.84624935061146,4.481800002395175,4.4773000008717645
67,208.15413079829952,3.95109999954002,3.946400000131689
68,160.7644608128847,4.934900000080233,4.930300001433352
69,213.6853696618532,7.788400002027629,7.782500000757864
70,190.8397325942167,4.450399999768706,4.445400001714006
71,217.47414751209948,8.238700000219978,8.232899999711663
72,172.8354348394161,4.351200001110556,4.345700002886588
73,224.2941087259018,28.66129999893019,28.655100002652034
74,237.90802475834207,4.911899999569869,4.906000001938082
75,238.34810462596317,6.650699997408083,6.644900000537746
76,239.91396685098985,5.926599998929305,5.921799998759525
77,240.05502616841198,8.25520000216784,8.249600003182422
78,239.92001066859595,8.441900001344038,8.435699997789925
79,239.7239818073952,8.297799999127164,8.292299997265218
80,,8.788600000116276,8.783299999777228
81,,8.311699999467237,8.30610000048182
